rubro,provincia,value,datetime
Combustibles y energía,Santiago del Estero,0,1/1/2008 0:00:00
Combustibles y energía,Tucumán,1.476,1/1/2008 0:00:00
Combustibles y energía,Mendoza,186.639,1/1/2008 0:00:00
Combustibles y energía,San Juan,0,1/1/2008 0:00:00
Combustibles y energía,San Luis,0,1/1/2008 0:00:00
Combustibles y energía,Chaco,0,1/1/2008 0:00:00
Combustibles y energía,Corrientes,29.173,1/1/2008 0:00:00
Combustibles y energía,Formosa,3.722,1/1/2008 0:00:00
Combustibles y energía,Misiones,0,1/1/2008 0:00:00
Productos primarios,Buenos Aires,2078.681,1/1/2009 0:00:00
Productos primarios,Capital Federal,0,1/1/2009 0:00:00
Productos primarios,Córdoba,1769.303,1/1/2009 0:00:00
Productos primarios,Entre Ríos,425.612,1/1/2009 0:00:00
Productos primarios,La Pampa,123.414,1/1/2009 0:00:00
Productos primarios,Santa Fe,813.032,1/1/2009 0:00:00
Productos primarios,Chubut,222.752,1/1/2009 0:00:00
Productos primarios,Neuquén,59.772,1/1/2009 0:00:00
Productos primarios,Río Negro,357.454,1/1/2009 0:00:00
Productos primarios,Santa Cruz,343.866,1/1/2009 0:00:00
Productos primarios,Tierra del Fuego,52.363,1/1/2009 0:00:00
Productos primarios,Catamarca,1158.075,1/1/2009 0:00:00
Productos primarios,Jujuy,183.818,1/1/2009 0:00:00
Productos primarios,La Rioja,1.926,1/1/2009 0:00:00
Productos primarios,Salta,450.541,1/1/2009 0:00:00
Productos primarios,Santiago del Estero,68.968,1/1/2009 0:00:00
Productos primarios,Tucumán,268.992,1/1/2009 0:00:00
Productos primarios,Mendoza,231.839,1/1/2009 0:00:00
Productos primarios,San Juan,98.273,1/1/2009 0:00:00
Productos primarios,San Luis,72.052,1/1/2009 0:00:00
Productos primarios,Chaco,113.374,1/1/2009 0:00:00
Productos primarios,Corrientes,139.61,1/1/2009 0:00:00
Productos primarios,Formosa,10.058,1/1/2009 0:00:00
Productos primarios,Misiones,122.3,1/1/2009 0:00:00
Manufacturas de origen agropecuario,Buenos Aires,4395.341,1/1/2009 0:00:00
